4,18,,,,,
Reimu! Reimu! These shooting stars seem to bear some great magical power.,FALSE,FaceReimu_no,TRUE,Facemaru_sp,FALSE,FaceAmi01
"Even if you say that…, it's way too late…",TRUE,FaceReimu_sw,FALSE,Facemaru_no,FALSE,FaceAmi01
"Ah, right now, I just want to lie down in my shrine…",TRUE,FaceReimu_sw,FALSE,Facemaru_no,FALSE,FaceAmi01
Don't be like that! Cheer up.,FALSE,FaceReimu_sw,TRUE,Facemaru_sw,FALSE,FaceAmi01
Ah! Hellooooo!,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceAmi05
"Oh, hey, there!",FALSE,FaceReimu_no,TRUE,Facemaru_sp,FALSE,FaceAmi01
Seems like we've found the culprit.,TRUE,FaceReimu_no2,FALSE,Facemaru_no,FALSE,FaceAmi01
"Well, it might seem that way, but I'm nooot.",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceAmi03
"Okay then, let's quickly beat her up and head back to sleep.",TRUE,FaceReimu_hp,FALSE,Facemaru_no,FALSE,FaceAmi04
Did you also want to come to my party?,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceAmi01
What party? You mean now?,TRUE,FaceReimu_sp,FALSE,Facemaru_no,FALSE,FaceAmi01
"Oh, the party's about to begin!",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceAmi05
"I'm sorry, but we have things to do, and we'd like to hurry,",FALSE,FaceReimu_no,TRUE,Facemaru_sw,FALSE,FaceAmi05
so please let us pass with no issue.,FALSE,FaceReimu_no,TRUE,Facemaru_no2,FALSE,FaceAmi01
Okay! You can take your needle with you and stay for the party.,TRUE,FaceReimu_hp,FALSE,Facemaru_no,FALSE,FaceAmi01
I'm going back to sleep.,TRUE,FaceReimu_hp,FALSE,Facemaru_no,FALSE,FaceAmi01
Reimu!,FALSE,FaceReimu_no2,TRUE,Facemaru_sw,FALSE,FaceAmi01
"No, I'll need two more people.",FALSE,FaceReimu_no,FALSE,Facemaru_sw,TRUE,FaceAmi04
"But if you're busy, then",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceAmi01
"I've prepared a party for busy people, toooooo!",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceAmi03
Seems like we have to exterminate you.,TRUE,FaceReimu_hp,FALSE,Facemaru_no,FALSE,FaceAmi05
Seems like we have to exterminate you. ,FALSE,FaceReimu_hp,TRUE,Facemaru_sw,FALSE,FaceAmi05
"Let's go, Shinmyoumaru!",TRUE,FaceReimu_no2,FALSE,Facemaru_sw,FALSE,FaceAmi05
