2,17,,,
This area ahead is off-limits.,FALSE,TRUE,FaceSanae_an,FaceRakuki_no
Who are you and why are you stopping me?,TRUE,FALSE,FaceSanae_an,FaceRakuki_no
I am Rakuki.,FALSE,TRUE,FaceSanae_an,FaceRakuki_an2
You're a human? Please go back. This has nothing to do with you.,FALSE,TRUE,FaceSanae_an,FaceRakuki_no
You guys are definitely planning something.,TRUE,FALSE,FaceSanae_no,FaceRakuki_no
I am a living god; I can't just sit idly.,TRUE,FALSE,FaceSanae_no2,FaceRakuki_no
I don't care if you are a living god.,FALSE,TRUE,FaceSanae_no2,FaceRakuki_an2
All we need right now is time.,FALSE,TRUE,FaceSanae_no2,FaceRakuki_dp
"Once we are done, we will leave peacefully.",FALSE,TRUE,FaceSanae_no2,FaceRakuki_no2
How can I just stand by!,TRUE,FALSE,FaceSanae_sw,FaceRakuki_no2
"If we continue to ignore these magical meteor fragments,",TRUE,FALSE,FaceSanae_sw,FaceRakuki_no2
youkai might go wild and cause a rampage!,TRUE,FALSE,FaceSanae_sw,FaceRakuki_no2
What do youkai have to do with humans?,FALSE,TRUE,FaceSanae_sw,FaceRakuki_no
It seems that I'll have to force my way in.,TRUE,FALSE,FaceSanae_an,FaceRakuki_no
Prepare yourself for a danmaku battle!,TRUE,FALSE,FaceSanae_an2,FaceRakuki_no
How naive!,FALSE,TRUE,FaceSanae_an2,FaceRakuki_an
Do you really think you can escape my volley of arrows?,FALSE,TRUE,FaceSanae_an2,FaceRakuki_an
"Faced with this Divine Bow of Kotobiki,",FALSE,TRUE,FaceSanae_an2,FaceRakuki_dp
perish!,FALSE,TRUE,FaceSanae_an2,FaceRakuki_bk
