3,21,,,
Wow! What a beautiful meteor shower.,TRUE,FALSE,FaceKoishi_hp,FaceRakuki_no
"So many flashing lights,",TRUE,FALSE,FaceKoishi_no,FaceRakuki_no
they make me want to see more!,TRUE,FALSE,FaceKoishi_hp2,FaceRakuki_no
Should be around here.,FALSE,TRUE,FaceKoishi_no,FaceRakuki_an2
Kage reported some strange people approaching the altar.,FALSE,TRUE,FaceKoishi_no,FaceRakuki_no
"This would be the place to intercept them,",FALSE,TRUE,FaceKoishi_no,FaceRakuki_no2
but I don't see anyone…,FALSE,TRUE,FaceKoishi_no,FaceRakuki_dp
Eh? It's just a human.,TRUE,FALSE,FaceKoishi_sp,FaceRakuki_no2
What is she doing at this late hour in the dangerous bamboo forest?,TRUE,FALSE,FaceKoishi_no2,FaceRakuki_no2
"Well, since I'm a youkai, it's my duty to scare her.",TRUE,FALSE,FaceKoishi_no,FaceRakuki_no2
I'll use your blood to paint my roses red!,TRUE,FALSE,FaceKoishi_hp2,FaceRakuki_no2
Ah! Where did you come from?,FALSE,TRUE,FaceKoishi_no,FaceRakuki_an2
"Aw, shucks, she found me.",TRUE,FALSE,FaceKoishi_hp,FaceRakuki_an2
And I wanted to silently creep up from behind,TRUE,FALSE,FaceKoishi_no,FaceRakuki_no
and tear you in half.,TRUE,FALSE,FaceKoishi_hp2,FaceRakuki_no
Darn it! It's a youkai.,FALSE,TRUE,FaceKoishi_no,FaceRakuki_an
"(I can feel her breath, but nothing else.)",FALSE,TRUE,FaceKoishi_no,FaceRakuki_no
(Just what kind of youkai is this…?),FALSE,TRUE,FaceKoishi_no,FaceRakuki_no
Are you wondering why you didn't see me?,TRUE,FALSE,FaceKoishi_no,FaceRakuki_no
"It's because I can act subconsciously,",TRUE,FALSE,FaceKoishi_no2,FaceRakuki_no
and I'll make you die in bewilderment!,TRUE,FALSE,FaceKoishi_hp,FaceRakuki_no
What a fearful opponent.,FALSE,TRUE,FaceKoishi_no,FaceRakuki_no
Let me show you the power of humans!,FALSE,TRUE,FaceKoishi_no,FaceRakuki_dp
"Begone, youkai!",FALSE,TRUE,FaceKoishi_no,FaceRakuki_bk
