3,26,,,
"According to the Momosame sisters,",TRUE,FALSE,FaceMarisa_no2,FaceRika_no
it should be around here.,TRUE,FALSE,FaceMarisa_no,FaceRika_no
Are you looking for me?,FALSE,TRUE,FaceMarisa_no,FaceRika_no2
Miss witch?,FALSE,TRUE,FaceMarisa_no,FaceRika_no
So you finally show up.,TRUE,FALSE,FaceMarisa_no2,FaceRika_no
The girl who's been crossing the Border.,TRUE,FALSE,FaceMarisa_no,FaceRika_no
Are you referring to the barrier that separates between the Outside World and Gensokyo?,FALSE,TRUE,FaceMarisa_no,FaceRika_no2
"If that is so, that barrier is useless against me.",FALSE,TRUE,FaceMarisa_no,FaceRika_dp
What? Just how did you do it?,TRUE,FALSE,FaceMarisa_sp,FaceRika_dp
You don’t know?,FALSE,TRUE,FaceMarisa_sp,FaceRika_no2
Your so-called border actually gives out a warm feeling of existence just like the other world.,FALSE,TRUE,FaceMarisa_no,FaceRika_dp
"Since I belong to both Outside World and Fantasy World,",FALSE,TRUE,FaceMarisa_no,FaceRika_dp2
passing through a barrier like that is nothing to me.,FALSE,TRUE,FaceMarisa_no,FaceRika_no2
So that’s how it is.,TRUE,FALSE,FaceMarisa_no2,FaceRika_no2
How nice! I'd love to visit the other world myself!,TRUE,FALSE,FaceMarisa_no,FaceRika_no
Oh?,FALSE,TRUE,FaceMarisa_no,FaceRika_no
Are you trying to leave Gensokyo?,FALSE,TRUE,FaceMarisa_no,FaceRika_no2
No! That's not what I meant!,TRUE,FALSE,FaceMarisa_no2,FaceRika_no2
"I just want to take a look,",TRUE,FALSE,FaceMarisa_hp2,FaceRika_no
just to see how the Outside World is like.,TRUE,FALSE,FaceMarisa_no2,FaceRika_no
I’m sure life in Gensokyo's much better anyway.,TRUE,FALSE,FaceMarisa_hp,FaceRika_no
Do you really think so?,FALSE,TRUE,FaceMarisa_hp,FaceRika_no
"Well, how about this? If you win, maybe I'll take you to visit the Outside World.",FALSE,TRUE,FaceMarisa_no,FaceRika_dp
You're obviously lying.,TRUE,FALSE,FaceMarisa_hp,FaceRika_dp
"But still, I'm very interested in Outsiders like you,"¡,TRUE,FALSE,FaceMarisa_no,FaceRika_no
so let’s have a danmaku duel!,TRUE,FALSE,FaceMarisa_no2,FaceRika_no
Gensokyo's magician?,FALSE,TRUE,FaceMarisa_no,FaceRika_no
"I'm curious of what sort of power you possess, too.",FALSE,TRUE,FaceMarisa_no,FaceRika_dp
"Well then, I will use only a quarter of my strength,",FALSE,TRUE,FaceMarisa_no,FaceRika_dp2
and drown you with this moonlight danmaku!,FALSE,TRUE,FaceMarisa_no,FaceRika_an
