2,26,,,
That mysterious person should be somewhere around this area,TRUE,FALSE,FaceSanae_no2,FaceRika_no
according to the Momosame sisters.,TRUE,FALSE,FaceSanae_no,FaceRika_no
"Would you happen to be looking for me,",FALSE,TRUE,FaceSanae_no,FaceRika_no
wind-manipulating miko?,FALSE,TRUE,FaceSanae_no,FaceRika_no2
"So you finally show yourself,",TRUE,FALSE,FaceSanae_sp,FaceRika_no
the mastermind of this incident!,TRUE,FALSE,FaceSanae_an,FaceRika_no
"What do you mean, mastermind?",FALSE,TRUE,FaceSanae_an,FaceRika_sw
Isn't that pushing it a bit?,FALSE,TRUE,FaceSanae_an,FaceRika_sw
Aren’t you the one who helped the Momosame sisters and amplified this incident?,TRUE,FALSE,FaceSanae_an,FaceRika_no
"Well, I only wanted to do some sightseeing in Gensokyo.",FALSE,TRUE,FaceSanae_an,FaceRika_no
"On my way, I also helped two troubled people of my own volition.",FALSE,TRUE,FaceSanae_an,FaceRika_no
Did I do something wrong?,FALSE,TRUE,FaceSanae_an,FaceRika_no2
Stop making excuses!,TRUE,FALSE,FaceSanae_an,FaceRika_no
You are an outsider that can freely cross Gensokyo's Border.,TRUE,FALSE,FaceSanae_no,FaceRika_no
"If I keep leaving you unattended, there is no doubt that you'll be planning something serious!",TRUE,FALSE,FaceSanae_no,FaceRika_no
"Before that happens, I’ll make sure to exterminate you!",TRUE,FALSE,FaceSanae_an2,FaceRika_no
Exterminate me?,FALSE,TRUE,FaceSanae_no,FaceRika_no2
Are you worried those things from the Outside World could destroy Gensokyo's peace?,FALSE,TRUE,FaceSanae_no,FaceRika_dp
It seems that you know nothing about the Outside World.,FALSE,TRUE,FaceSanae_no,FaceRika_dp2
I'm quite familiar with the Outside World.,TRUE,FALSE,FaceSanae_no2,FaceRika_no
What?,FALSE,TRUE,FaceSanae_no,FaceRika_an
That's because I’m a human that came from the outside world too.,TRUE,FALSE,FaceSanae_no,FaceRika_an
Interesting…,FALSE,TRUE,FaceSanae_no,FaceRika_dp
I wonder what kind of danmaku a human from the outside world would use?,FALSE,TRUE,FaceSanae_no,FaceRika_dp2
I would really like to know.,FALSE,TRUE,FaceSanae_no,FaceRika_no
Then a danmaku duel it is!,TRUE,FALSE,FaceSanae_no,FaceRika_an
"So, a shrine maiden who manipulates wind?",FALSE,TRUE,FaceSanae_no,FaceRika_an
What a coincidence!,FALSE,TRUE,FaceSanae_no,FaceRika_an
"Well then, I will only use a quarter of my strength,",FALSE,TRUE,FaceSanae_no,FaceRika_dp
and let you experience the true power of a storm!,FALSE,TRUE,FaceSanae_no,FaceRika_an
