4,25,,,
I heard that there’s a person from the Outside World has arrived in this area.,TRUE,FALSE,FaceKoishi_no2,FaceRika_no
I wonder what will it looks like?,TRUE,FALSE,FaceKoishi_dp2,FaceRika_no
Ah? Could that person over there be…,TRUE,FALSE,FaceKoishi_sp,FaceRika_no
How are you?,TRUE,FALSE,FaceKoishi_hp2,FaceRika_no
What the!?,FALSE,TRUE,FaceKoishi_hp2,FaceRika_an2
A youkai with the ability to camouflage?,FALSE,TRUE,FaceKoishi_no2,FaceRika_an2
Are you planning on a surprise attack?,FALSE,TRUE,FaceKoishi_no2,FaceRika_an2
Actually no.,TRUE,FALSE,FaceKoishi_sw,FaceRika_an2
I’m just here to…,TRUE,FALSE,FaceKoishi_sw,FaceRika_an
It seems Gensokyo really is a very dangerous place.,FALSE,TRUE,FaceKoishi_sw,FaceRika_an
I said no!,TRUE,FALSE,FaceKoishi_an,FaceRika_an
"I only heard that there’s a person from the Outside World has arrived in this area,",TRUE,FALSE,FaceKoishi_an3,FaceRika_an
that’s why I rushed over.,TRUE,FALSE,FaceKoishi_no,FaceRika_an
Oh?,FALSE,TRUE,FaceKoishi_no,FaceRika_no2
It seems the folks in Gensokyo is very curious about the Outside World.,FALSE,TRUE,FaceKoishi_no,FaceRika_no
"With that said, I’m sure you’ve prepared all kinds of danmaku too!",TRUE,FALSE,FaceKoishi_dp,FaceRika_no
"Well, how about this?",FALSE,TRUE,FaceKoishi_dp,FaceRika_dp2
"If you win, then I’ll bring you to the Outside World.",FALSE,TRUE,FaceKoishi_dp,FaceRika_no
That’s great!,TRUE,FALSE,FaceKoishi_hp,FaceRika_no
"Actually, I'm curious about something else too.",TRUE,FALSE,FaceKoishi_dp2,FaceRika_no
I wonder what blood color does the people in the Outside World possess? Is it red?,TRUE,FALSE,FaceKoishi_hp2,FaceRika_no
What!?,FALSE,TRUE,FaceKoishi_hp2,FaceRika_an
Let’s conduct an experiment after I defeat you.,TRUE,FALSE,FaceKoishi_dp,FaceRika_an
This fellow is extremely dangerous.,FALSE,TRUE,FaceKoishi_dp,FaceRika_an2
Prepare yourself for a danmaku duel!,TRUE,FALSE,FaceKoishi_hp2,FaceRika_an
Against a cold-blooded youkai?,FALSE,TRUE,FaceKoishi_dp,FaceRika_dp
"Well then, I will use only a quarter of my strength,",FALSE,TRUE,FaceKoishi_dp,FaceRika_dp2
and frost you under this deep snow for eternity!,FALSE,TRUE,FaceKoishi_dp,FaceRika_an
