2,3,,,,,
Now that you’ve experienced it.,TRUE,FaceReimu_an,FALSE,Facemaru_no2,FALSE,FaceRika_no
I’ll have you know that this is the true strength of Gensokyo!,TRUE,FaceReimu_an2,FALSE,Facemaru_no2,FALSE,FaceRika_no
Well said Reimu!,FALSE,FaceReimu_an2,TRUE,Facemaru_no2,FALSE,FaceRika_no
Indeed so.,FALSE,FaceReimu_no,FALSE,Facemaru_no2,TRUE,FaceRika_lo
"I must say that Gensokyo really is an interesting place,",FALSE,FaceReimu_no,FALSE,Facemaru_no2,TRUE,FaceRika_lo
though it is quite unfortunate that I must leave right away.,FALSE,FaceReimu_no,FALSE,Facemaru_no2,TRUE,FaceRika_lo
"Thanks to you, we've had a lot on our plates.",TRUE,FaceReimu_an2,FALSE,Facemaru_no2,FALSE,FaceRika_lo
"At last, this incident has finally come to an end.",FALSE,FaceReimu_no,TRUE,Facemaru_hp,FALSE,FaceRika_lo
Yeah.,TRUE,FaceReimu_sw,FALSE,Facemaru_hp,FALSE,FaceRika_lo
We didn’t sleep for an entire night.,TRUE,FaceReimu_sw,FALSE,Facemaru_hp,FALSE,FaceRika_lo
Let’s hurry back and sleep.,TRUE,FaceReimu_sw,FALSE,Facemaru_no,FALSE,FaceRika_lo
"Well, I guess it’s about time for me to return to the Hermit World too.",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRika_lo
"Fellow residents of Gensokyo,",FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRika_lo2
perhaps fate one day will allow our paths to cross again.,FALSE,FaceReimu_no,FALSE,Facemaru_no,TRUE,FaceRika_lo2
